total_iterations, iterations_per_second, memory_usage
16912563, 33979.51914514693, 1522016256
16959178, 37929.210740439376, 1522454528
16997337, 33979.51914514693, 1522962432
17035495, 34314.748201438844, 1521709056
17073653, 34345.63456345635, 1521922048
17111811, 26796.34831460674, 1522073600
17149969, 28668.670172802405, 1522376704
17188127, 30673.63344051447, 1522565120
17226285, 31509.496284062756, 1522798592
17264443, 31048.006509357198, 1522991104
17302601, 22146.256529309343, 1523290112
17336530, 26970.58823529412, 1522319360
17374689, 33472.80701754386, 1522909184
17408618, 29867.077464788734, 1522352128
17446777, 33472.80701754386, 1522634752
17480706, 32221.27255460589, 1522331648
17518865, 34040.14272970562, 1522769920
17552794, 31709.34579439252, 1522565120
17590953, 33949.28825622775, 1522921472
17624882, 32068.99810964083, 1525997568
17658812, 32100.283822138128, 1531883520
17687284, 28472, 1523392512
17716230, 28946, 1531092992
17722656, 4931.696085955487, 1518333952
17765042, 36103.91822827939, 1530830848
17773711, 6416.728349370836, 1521168384
17811868, 34252.24416517055, 1531904000
17820537, 6483.919222139118, 1523101696
17847972, 27435, 1530605568
17858903, 6747.530864197531, 1525854208
17880877, 21974, 1530699776
17888816, 6111.624326404927, 1527967744
17905957, 17141, 1531232256
17914499, 6422.556390977444, 1528508416
17931617, 11629.076086956522, 1530929152
17940286, 6557.488653555219, 1530314752
17953179, 9452.346041055718, 1531654144
17961847, 6478.325859491779, 1531654144
17970515, 6703.789636504254, 1531654144
17979183, 6693.436293436293, 1531904000
17987851, 6719.37984496124, 1532444672
17996519, 6729.813664596273, 1532518400
18005187, 6517.293233082706, 1533751296
18013855, 6108.527131782946, 1533751296
18022523, 6406.504065040651, 1534644224
18031191, 4778.390297684675, 1534701568
18039859, 5817.4496644295305, 1535639552
18048527, 6187.009279086366, 1534689280
18057195, 5209.134615384615, 1536507904
18065863, 5482.605945604048, 1536245760
18074531, 6507.507507507507, 1536434176
18083199, 6463.832960477256, 1537114112
18091867, 6745.525291828794, 1537843200
18096569, 3375.448671931084, 1537933312
18105239, 6778.733385457389, 1537933312
18108365, 2415.7650695517773, 1481900032
18118067, 6803.6465638148675, 1461370880
18138069, 20002, 1508823040
18213369, 75300, 1521369088
18247702, 32604.93827160494, 1532190720
18278906, 31204, 1527107584
18324022, 38040.47217537943, 1531207680
18352704, 28682, 1522720768
18387657, 31660.32608695652, 1528696832
18416333, 28676, 1526915072
18447059, 29715.66731141199, 1532461056
18476236, 29177, 1526722560
18498116, 14356.955380577429, 1529856000
18527924, 18630, 1529012224
18553503, 16652.994791666668, 1527939072
18579082, 16872.69129287599, 1532006400
18600432, 14290.4953145917, 1531580416
18609101, 6527.861445783132, 1529466880
18621994, 9302.308802308802, 1530494976
18639117, 11999.299229152068, 1532334080
18647785, 6688.271604938272, 1531109376
18656453, 6392.330383480826, 1530937344
18665121, 6387.61974944731, 1532157952
18673789, 6125.795053003533, 1532289024
18682457, 6104.225352112677, 1533206528
18691125, 5479.14032869785, 1533206528
18699793, 5295.05192425168, 1534038016
18704127, 3399.21568627451, 1534038016
18708459, 3640.3361344537816, 1534038016
18712792, 4076.1994355597367, 1534402560
18721459, 5661.005878510778, 1535131648
18730127, 6231.488138030194, 1535303680
18734461, 4257.367387033399, 1535303680
18740216, 5755, 1535459328
18747460, 5322.556943423953, 1536352256
18756128, 6134.46567586695, 1536352256
18764796, 6276.611151339609, 1536253952
18773464, 6345.534407027818, 1537888256
18782132, 6200.2861230329045, 1538199552
18790800, 6040.418118466899, 1538449408
18799468, 6449.4047619047615, 1538449408
18802797, 2464.100666173205, 1484869632
18811336, 5333.541536539663, 1466261504
18831367, 20031, 1514766336
18905237, 73870, 1526005760
18928394, 14796.805111821086, 1526960128
18996151, 42058.96958410925, 1532321792
19024098, 27947, 1524961280
19051693, 27595, 1531252736
19080326, 28633, 1527111680
19098154, 11957.075788061702, 1526009856
19136311, 30771.774193548386, 1532260352
19163020, 26709, 1530875904
19170453, 5449.41348973607, 1531768832
19191402, 20949, 1528532992
19208821, 10886.875, 1533325312
19234399, 16076.681332495285, 1531809792
19243069, 6323.8512035010945, 1528754176
19264420, 13344.375, 1532481536
19277312, 9028.011204481792, 1531015168
19285982, 6268.980477223427, 1531125760
19298875, 8941.054091539529, 1531887616
19307543, 6213.620071684588, 1532481536
19316211, 6267.534345625452, 1532481536
19324879, 6290.275761973876, 1532481536
19333547, 6267.534345625452, 1533042688
19342215, 6263.005780346822, 1533669376
19350883, 5710.144927536232, 1534578688
19359551, 6240.460763138949, 1534578688
19368219, 6364.170337738619, 1534578688
19376887, 6317.784256559767, 1534480384
19385555, 5702.631578947368, 1535627264
19394223, 6200.2861230329045, 1535815680
19402891, 6258.483754512636, 1536778240
19411559, 6231.488138030194, 1537507328
19420227, 5357.231149567367, 1537945600
19424936, 4630.2851524090465, 1536847872
19429269, 3200.1477104874443, 1537048576
19437939, 6215.05376344086, 1538195456
19446607, 6235.971223021583, 1538367488
19455234, 4090.5642484589853, 1487278080
19463002, 4969.929622520794, 1471229952
19480249, 17247, 1516720128
19550453, 70204, 1528836096
19564524, 9300.066093853273, 1528172544
19623824, 40728.02197802198, 1532723200
19649651, 25827, 1527328768
19674976, 25325, 1532870656
19700525, 25549, 1526562816
19725829, 15438.682123245882, 1529024512
19752065, 26236, 1530834944
19777831, 25766, 1530470400
19793893, 10546.290216677611, 1532809216
19819472, 15577.95371498173, 1532092416
19828142, 6188.436830835118, 1527697408
19849493, 13547.588832487309, 1532268544
19862385, 8532.097948378558, 1531043840
19871055, 6157.670454545455, 1531523072
19883948, 8788.684389911383, 1532096512
19892616, 6165.007112375534, 1531760640
19901284, 6130.12729844413, 1533440000
19909952, 6182.596291012839, 1533620224
19918620, 5683.934426229509, 1532526592
19927288, 5288.5906040268455, 1534222336
19935956, 6040.418118466899, 1534640128
19944624, 6121.468926553673, 1534668800
19953292, 6244.956772334294, 1534758912
19961960, 6178.189593727726, 1536348160
19970628, 6099.929627023223, 1536512000
19979296, 6032.011134307585, 1536512000
19987964, 5941.055517477725, 1537462272
19996632, 6272.069464544139, 1537794048
20005300, 6074.281709880869, 1537859584
20013968, 6290.275761973876, 1538863104
20022636, 6231.488138030194, 1538863104
20027380, 4570.327552986512, 1538883584
20031684, 3236.09022556391, 1538863104
20039605, 3533.006244424621, 1489358848
20046648, 4497.445721583653, 1474125824
20064427, 17779, 1519616000
20131148, 42551.6581632653, 1530605568
20149236, 18088, 1526304768
20190551, 31562.261268143622, 1531596800
20209472, 18921, 1527353344
20237270, 25065.825067628495, 1532502016
20249511, 12241, 1527353344
20275532, 25712.450592885376, 1531621376
20284201, 5673.429319371728, 1522606080
20318129, 30131.438721136772, 1532334080
20326799, 6223.977027997128, 1524723712
20352270, 24996.074582924437, 1531781120
20360940, 6092.761770906535, 1526394880
20386519, 15663.808940600122, 1532596224
20407869, 13368.816530995617, 1532223488
20416538, 6074.982480728801, 1530499072
20433656, 11022.537025112686, 1532321792
20442325, 6109.231853417899, 1532596224
20450993, 5957.388316151202, 1532108800
20459661, 5676.4898493778655, 1531625472
20468329, 6015.267175572519, 1532784640
20476997, 6281.159420289856, 1533644800
20485665, 5650.586701434159, 1533874176
20494333, 6091.356289529163, 1534603264
20503001, 5538.658146964856, 1534693376
20511669, 6218.077474892397, 1534693376
20520337, 5427.676894176581, 1535307776
20529005, 5856.756756756757, 1535971328
20537673, 6213.620071684588, 1536700416
20546341, 6222.54127781766, 1536790528
20555009, 6299.418604651163, 1536790528
20563677, 6235.971223021583, 1537519616
20572345, 6218.077474892397, 1537839104
20581013, 6178.189593727726, 1538490368
20589681, 6222.54127781766, 1538887680
20598276, 4083.1353919239905, 1489575936
20605319, 4491.709183673469, 1474580480
20623688, 18369, 1519017984
20689819, 42364.50992953235, 1531060224
20715571, 25752, 1528651776
20749222, 28663.54344122658, 1532846080
20771003, 21781, 1527603200
20791713, 17746.35818337618, 1532100608
20816238, 24525, 1527799808
20834312, 11541.507024265644, 1528541184
20859783, 25394.815553339984, 1531666432
20868453, 5905.994550408719, 1524822016
20893924, 25119.329388560156, 1531879424
20902594, 6025.017373175816, 1526546432
20928173, 15549.544072948329, 1532837888
20949523, 13179.012345679012, 1532309504
20958192, 5937.671232876713, 1530548224
20975310, 11051.000645577793, 1532010496
20983979, 5995.159059474412, 1530576896
20996872, 8664.650537634408, 1531928576
21005540, 6023.627519110493, 1532252160
21014208, 5661.659046374919, 1532739584
21021599, 7391, 1532837888
21027209, 3906.6852367688025, 1533091840
21035877, 5977.931034482759, 1533886464
21044545, 5961.485557083906, 1533943808
21053213, 5876.610169491525, 1534357504
21061881, 6070.028011204482, 1535737856
21070549, 5961.485557083906, 1535934464
21079217, 6002.770083102493, 1535983616
21087885, 6078.541374474054, 1536057344
21096553, 6160.625444207533, 1537441792
21105221, 6099.929627023223, 1537073152
21113889, 6130.12729844413, 1537802240
21122557, 6276.611151339609, 1537945600
21131225, 6209.169054441261, 1538904064
21139893, 5496.512365250475, 1539129344
21148561, 6015.267175572519, 1539129344
21152382, 2638.812154696133, 1489915904
21159413, 4518.637532133676, 1474727936
21172106, 7614.277144571086, 1461035008
21194212, 20169.708029197078, 1507442688
21266354, 72142, 1521205248
21304277, 31761.30653266332, 1532628992
21329179, 24902, 1526693888
21384825, 38562.71656271656, 1532588032
21408332, 23507, 1522499584
21452687, 33526.07709750567, 1531453440
21469807, 17120, 1525645312
21507861, 29660.171473109902, 1531322368
21533072, 25211, 1525645312
21558915, 25843, 1531318272
21578521, 19606, 1529839616
21603245, 24724, 1532514304
21626872, 14224.563515954243, 1532727296
21650633, 23761, 1531957248
21656785, 3816.3771712158805, 1532665856
21682364, 15615.995115995116, 1532698624
21691033, 5991.01589495508, 1528791040
21710492, 19459, 1532846080
21716716, 3756.1858780929388, 1530155008
21733834, 9946.542707728064, 1532538880
21742503, 5263.509411050394, 1532985344
21751171, 5298.288508557457, 1531936768
21759839, 6032.011134307585, 1532592128
21768507, 6099.929627023223, 1532985344
21777175, 6091.356289529163, 1533440000
21785843, 5521.019108280255, 1533628416
21794511, 6178.189593727726, 1534058496
21803179, 6104.225352112677, 1534992384
21811847, 6023.627519110493, 1535082496
21820515, 5920.765027322404, 1535729664
21829183, 5924.812030075188, 1536131072
21837851, 5928.864569083447, 1536176128
21846519, 5900.612661674608, 1536598016
21855187, 5892.590074779061, 1537085440
21861381, 6194, 1537236992
21868188, 4824.238128986534, 1537646592
21876856, 6065.780265920223, 1538228224
21881599, 4650, 1538588672
21885910, 3424.146147736299, 1538035712
21890630, 3049.095607235142, 1538273280
21895351, 3055.6634304207123, 1538502656
21903375, 3761.837787154243, 1490141184
21910367, 4600, 1476096000
21922728, 7735.294117647059, 1463828480
21942303, 19342.885375494072, 1513398272
22018040, 75737, 1523830784
22043906, 25534.057255676213, 1531961344
22070033, 26127, 1528049664
22124452, 32961.23561477892, 1533558784
22148805, 24353, 1523855360
22183857, 30559.721011333913, 1528840192
22209393, 25536, 1526493184
22243259, 30291.59212880143, 1533243392
22268574, 25315, 1525440512
22281474, 12734.452122408688, 1796943872
22285638, 3133.1828442437923, 1615687680
22290349, 4573.78640776699, 1609641984
22291074, 716.403162055336, 1609867264
22294854, 1664.4649933949802, 1562935296
22295770, 568.9440993788819, 1565073408
22296852, 753.4818941504178, 1565564928
22297698, 657.3426573426574, 1565884416
22298411, 703.8499506416586, 1566339072
22299363, 855.3459119496855, 1569042432
22301531, 1500.3460207612457, 1570115584
22303695, 1497.5778546712802, 1570115584
22304685, 981.169474727453, 1570127872
22305413, 708.1712062256809, 1570136064
22306574, 556.8345323741007, 1549656064
22307442, 858.5558852621168, 1551613952
22307819, 376.62337662337666, 1551900672
22308173, 352.58964143426294, 1552359424
22308896, 723, 1553879040
22309906, 644.5437141033823, 1556123648
22311343, 878.3618581907091, 1556287488
22312299, 956, 1556295680
22313191, 392.43290805103385, 1536921600
22314042, 849.3013972055888, 1538813952
22314519, 317.57656458055925, 1539559424
22315956, 933.7231968810917, 1542164480
22318125, 1579.7523670793883, 1543913472
22319560, 914.0127388535032, 1543913472
22320551, 967.7734375, 1543925760
22321655, 784.6481876332623, 1544077312
22322316, 460.6271777003484, 1524789248
22322685, 162.34051913770347, 1512996864
22323328, 279.32232841007817, 1501892608
22333171, 9843, 1515290624
22341619, 4951.934349355217, 1493630976
22347710, 6091, 1510486016
22368762, 21052, 1526968320
22378680, 6520.710059171598, 1527824384
22403671, 24991, 1532964864
22408590, 3451.9298245614036, 1529286656
22429937, 13128.536285362854, 1533181952
22442830, 8003.10366232154, 1532432384
22451500, 5289.810860280659, 1532432384
22464393, 8339.586028460542, 1532997632
22473061, 5676.4898493778655, 1534033920
22481729, 5736.598279285242, 1534267392
22490397, 5725.231175693527, 1534267392
22499065, 5672.774869109948, 1535328256
22507733, 5669.064748201439, 1535328256
22516401, 5725.231175693527, 1535565824
22525069, 5706.3857801184995, 1535225856
22533737, 5373.837569745815, 1536339968
22542405, 5654.272667971299, 1536708608
22551073, 5606.727037516171, 1536536576
22559741, 5687.664041994751, 1537523712
22568409, 5632.228719948019, 1537675264
22577077, 5657.963446475195, 1537773568
22585745, 5592.258064516129, 1538723840
22594413, 4498.1837052413075, 1538723840
22595373, 955.2238805970151, 1538727936
22595750, 363.19845857418113, 1538723840
22600172, 4400.000000000001, 1538736128
22604545, 2875.082182774491, 1538723840
22605471, 904.296875, 1538736128
22608513, 1411.600928074246, 1501343744
22612736, 2836.1316319677635, 1502023680
22618194, 2314.673452078032, 1501794304
22627268, 9074, 1512050688
22636669, 6201.187335092348, 1505169408
22639031, 1666.9019054340156, 1502838784
