total_iterations, iterations_per_second, memory_usage
211201821, 595685, 72445952
211798230, 596409, 72470528
212396545, 598315, 72495104
212993908, 597363, 72523776
213590618, 596710, 72548352
214186617, 595999, 72577024
214777384, 590767, 72601600
215374053, 596669, 72626176
215970276, 596223, 72650752
216566247, 595971, 72675328
217168272, 602025, 72699904
217764257, 595985, 72724480
218365464, 601207, 72757248
218960737, 595273, 72773632
219554532, 593795, 72798208
220146145, 591613, 72826880
220745691, 599546, 72855552
221343166, 597475, 72880128
221940875, 597709, 72904704
222534521, 593646, 72933376
223134074, 599553, 72953856
223728457, 594383, 72982528
224330947, 602490, 73007104
224929370, 598423, 73027584
225525895, 596525, 73060352
226122330, 596435, 73084928
226724019, 601689, 73105408
227317830, 593811, 73134080
227915897, 598067, 73154560
228511640, 595743, 73191424
229111350, 599710, 73216000
229705000, 593650, 73244672
230305516, 599916.083916084, 73277440
230900148, 594632, 73302016
231499372, 599224, 73326592
232095732, 596360, 73347072
232694279, 598547, 73383936
233285432, 591153, 73408512
233878938, 593506, 73433088
234471827, 592889, 73461760
235068984, 597157, 73478144
235661551, 592567, 73519104
236263152, 601601, 73547776
236858792, 595640, 73580544
237454838, 596046, 73605120
238045700, 590862, 73629696
238642329, 596629, 73650176
239240316, 597987, 73674752
239835596, 595280, 73703424
240431819, 596223, 73732096
241028810, 596991, 73748480
241624668, 595262.7372627374, 73781248
242224235, 599567, 73801728
242821200, 596965, 73834496
243420296, 599096, 73854976
244015399, 595103, 73879552
244608686, 593287, 73904128
245204027, 595341, 73932800
245801962, 597935, 73957376
246394800, 592838, 73981952
246992264, 597464, 74002432
247588289, 596025, 74035200
248185016, 596727, 74055680
248777774, 592758, 74080256
249375434, 597660, 74104832
249971705, 596271, 74133504
250569543, 597838, 74158080
251165664, 596121, 74190848
251761323, 595659, 74207232
252350568, 589245, 74240000
252943817, 593249, 74260480
253537482, 593665, 74289152
254133593, 596111, 74317824
254729719, 596126, 74338304
255313108, 583389, 74362880
255908758, 595650, 74387456
256508328, 599570, 74416128
257102458, 594130, 74440704
257698492, 596034, 74469376
258295561, 597069, 74493952
258886599, 591038, 74522624
259481505, 594311.6883116884, 74547200
260073931, 592426, 74579968
260671205, 597274, 74600448
261261539, 590334, 74625024
261858649, 597110, 74649600
262447694, 589045, 74678272
263040137, 592443, 74702848
263629899, 589762, 74731520
264226548, 596649, 74752000
264821372, 594824, 74780672
265414998, 593626, 74805248
266007269, 592271, 74833920
266603339, 596070, 74854400
267197562, 594223, 74883072
267798078, 600516, 74911744
268383108, 585030, 74932224
268973723, 590615, 74960896
269568981, 595258, 74985472
270166879, 597898, 75005952
270761885, 595006, 75034624
271359561, 597676, 75059200
271958477, 598916, 75083776
272560092, 601615, 75108352
273149446, 589354, 75132928
273744166, 594720, 75161600
