total_iterations, iterations_per_second, memory_usage
555610334, 670678, 74137600
556291468, 681134, 74174464
556960388, 668920, 74211328
557641459, 681071, 74244096
558317614, 676155, 74276864
559000642, 683028, 74309632
559682390, 681748, 74334208
560358303, 675913, 74366976
561041403, 683100, 74399744
561722413, 681010, 74444800
562401224, 678811, 74473472
563081223, 679999, 74506240
563762799, 681576, 74530816
564435421, 672622, 74563584
565119048, 683627, 74596352
565797556, 678508, 74629120
566470587, 673031, 74665984
567133863, 663276, 74702848
567813279, 679416, 74739712
568486342, 673063, 74764288
569170601, 684259, 74797056
569839506, 668905, 74825728
570513802, 674296, 74854400
571183652, 669850, 74891264
571865643, 681991, 74924032
572543206, 677563, 74956800
573229621, 686415, 74997760
573880867, 651246, 75022336
574555835, 674968, 75063296
575229482, 673647, 75087872
575911082, 681600, 75124736
576591682, 680600, 75153408
577264688, 673006, 75186176
577938495, 673807, 75218944
578613843, 675348, 75255808
579283756, 669913, 75288576
579960681, 676925, 75325440
580626169, 665488, 75354112
581297888, 671719, 75382784
581980192, 682304, 75415552
582662743, 682551, 75444224
583334725, 671982, 75481088
584014880, 680155, 75513856
584681952, 667072, 75546624
585355468, 673516, 75571200
586034317, 678849, 75603968
586712737, 678420, 75636736
587383633, 670896, 75661312
588060966, 677333, 75702272
588722595, 661629, 75735040
589398139, 675544, 75767808
590079733, 681594, 75804672
590759297, 679564, 75837440
591434154, 674857, 75866112
592104846, 670692, 75898880
592778428, 673582, 75931648
593459756, 681328, 75960320
594122037, 662281, 75997184
594795298, 673261, 76029952
595473849, 678551, 76070912
596152836, 678987, 76103680
596837154, 684318, 76136448
597508662, 671508, 76156928
598189503, 680841, 76193792
598863651, 674148, 76226560
599538718, 675067, 76263424
600210761, 672043, 76296192
600888859, 678098, 76320768
601557717, 668858, 76357632
602231811, 674094, 76386304
602906111, 674300, 76419072
603581920, 675809, 76455936
604256776, 674856, 76484608
604937054, 680278, 76521472
605609654, 672600, 76550144
606290572, 680918, 76582912
606959517, 668945, 76619776
607638054, 678537, 76652544
608302633, 664579, 76685312
608982196, 679563, 76713984
609651901, 669705, 76750848
610328335, 676434, 76783616
611012331, 683996, 76816384
611690009, 677678, 76840960
612373608, 683599, 76881920
613047470, 673862, 76910592
613731549, 684079, 76939264
614383002, 651453, 76972032
615053525, 670523, 77008896
615730634, 677109, 77037568
616401707, 671073, 77074432
617074510, 672803, 77107200
617741517, 667007, 77135872
618414065, 672548, 77164544
619092913, 678848, 77197312
619772613, 679700, 77238272
620446758, 674145, 77271040
621118579, 671821, 77299712
621798598, 680019, 77328384
622475151, 676553, 77357056
623142075, 666924, 77389824
623814839, 672764, 77426688
624489217, 674378, 77459456
625162851, 673634, 77488128
625841194, 678343, 77529088
626517734, 676540, 77557760
627193574, 675840, 77586432
627852672, 659098, 77619200
628527327, 674655, 77647872
629196267, 668940, 77680640
629878414, 682147, 77713408
630546589, 668175, 77742080
631223683, 677094, 77783040
631906685, 683002, 77807616
632592448, 685763, 77844480
633270224, 677776, 77873152
633940436, 670212, 77905920
634599087, 658651, 77934592
635276875, 677788, 77971456
635942401, 665526, 78000128
636622563, 680162, 78032896
637296535, 673972, 78061568
637960542, 664007, 78102528
638638034, 677492, 78135296
639316839, 678805, 78168064
639987409, 670570, 78196736
640655069, 667660, 78237696
641331148, 676079, 78266368
641997386, 666238, 78303232
642683275, 685889, 78340096
643360319, 677044, 78368768
644037361, 677042, 78397440
644713421, 676060, 78426112
645393266, 679845, 78458880
646063282, 670016, 78491648
646739788, 676506, 78524416
647402109, 662321, 78557184
648068944, 666835, 78589952
648748171, 679227, 78618624
649430837, 682666, 78651392
650112207, 681370, 78684160
650787305, 675098, 78716928
651456787, 669482, 78745600
652138381, 681594, 78786560
652818933, 680552, 78819328
653499479, 680546, 78852096
654172879, 673400, 78893056
654836230, 663351, 78934016
655506865, 670635, 78962688
656185989, 679124, 78991360
656860898, 674909, 79024128
657541263, 680365, 79060992
658214475, 673212, 79101952
658900190, 685715, 79130624
659570173, 669983, 79159296
660251238, 681065, 79192064
660922815, 671577, 79228928
661595507, 672692, 79253504
662271298, 675791, 79290368
662944479, 673181, 79323136
663626569, 682090, 79364096
664306817, 680248, 79396864
664989292, 682475, 79425536
665663111, 673819, 79454208
666340052, 676941, 79491072
667016801, 676749, 79519744
667691255, 674454, 79548416
668352591, 661336, 79581184
669029456, 676865, 79618048
669695994, 666538, 79642624
670372930, 676936, 79679488
671046822, 673892, 79712256
671721103, 674281, 79740928
672399332, 678229, 79773696
673081447, 682115, 79806464
673746194, 664747, 79831040
674427244, 681050, 79872000
675080310, 653066, 79900672
675749723, 669413, 79929344
676412425, 662702, 79962112
677093447, 681022, 79998976
677769930, 676483, 80031744
678435953, 666023, 80064512
679108940, 672987, 80097280
679780456, 671516, 80134144
680456575, 676119, 80175104
681127377, 670802, 80195584
681798556, 671179, 80228352
682469376, 670820, 80261120
683144449, 675073, 80289792
683826067, 681618, 80322560
684503229, 677162, 80355328
685179063, 675834, 80392192
685853260, 674197, 80437248
686538252, 684992, 80465920
687213773, 675521, 80494592
687885804, 672031, 80527360
688535103, 649299, 80556032
689213224, 678121, 80588800
689882571, 669347, 80625664
690556852, 674281, 80650240
691228514, 671662, 80687104
691905608, 676417.5824175825, 80719872
692586790, 681182, 80752640
693264384, 677594, 80781312
693948280, 683896, 80818176
694621495, 673215, 80850944
695283233, 661738, 80879616
695953072, 669839, 80908288
696627707, 674635, 80945152
697302809, 675102, 80982016
697980918, 678109, 81010688
698648508, 667590, 81039360
699324735, 676227, 81072128
699995120, 670385, 81104896
700665770, 670650, 81145856
701353258, 687488, 81170432
702024980, 671722, 81199104
702698964, 673984, 81240064
703375816, 676852, 81272832
704042106, 666290, 81301504
704723075, 680969, 81330176
705401891, 678816, 81362944
706077436, 675545, 81395712
706752999, 675563, 81428480
707421314, 668315, 81457152
708095224, 673910, 81494016
708757968, 662744, 81522688
709437039, 679071, 81555456
710091785, 654746, 81584128
710761630, 669845, 81616896
711444654, 683024, 81649664
712118547, 673893, 81682432
712795837, 677290, 81711104
713474573, 678736, 81739776
